Crane_ID,Vibration_Levels,Fuel_Consumption_Rate,Engine_Temperature,Operational_Hours,Remaining_Useful_Lifetime,Component,Component_Health
CRN0001,5.99,26.62,71.37,7305,1487.1,Hydraulic System,Critical
CRN0001,5.99,26.62,71.37,7305,1487.1,Engine,Critical
CRN0001,5.99,26.62,71.37,7305,1487.1,Structural Components,Critical
CRN0001,5.99,26.62,71.37,7305,1487.1,Control System,Critical
CRN0002,4.72,29.28,79.69,16106,653.85,Hydraulic System,Critical
CRN0002,4.72,29.28,79.69,16106,653.85,Engine,Critical
CRN0002,4.72,29.28,79.69,16106,653.85,Structural Components,Critical
CRN0002,4.72,29.28,79.69,16106,653.85,Control System,Critical
CRN0003,6.3,26.04,80.18,12209,963.97,Hydraulic System,Critical
CRN0003,6.3,26.04,80.18,12209,963.97,Engine,Critical
CRN0003,6.3,26.04,80.18,12209,963.97,Structural Components,Critical
CRN0003,6.3,26.04,80.18,12209,963.97,Control System,Critical
CRN0004,8.05,28.46,84.73,13134,774.84,Hydraulic System,Critical
CRN0004,8.05,28.46,84.73,13134,774.84,Engine,Critical
CRN0004,8.05,28.46,84.73,13134,774.84,Structural Components,Critical
CRN0004,8.05,28.46,84.73,13134,774.84,Control System,Critical
CRN0005,4.53,20.53,66.33,2584,2042.35,Hydraulic System,Critical
CRN0005,4.53,20.53,66.33,2584,2042.35,Engine,Critical
CRN0005,4.53,20.53,66.33,2584,2042.35,Structural Components,Critical
CRN0005,4.53,20.53,66.33,2584,2042.35,Control System,Critical
CRN0006,4.53,31.07,85.93,1954,2066.16,Hydraulic System,Bad
CRN0006,4.53,31.07,85.93,1954,2066.16,Engine,Bad
CRN0006,4.53,31.07,85.93,1954,2066.16,Structural Components,Bad
CRN0006,4.53,31.07,85.93,1954,2066.16,Control System,Bad
CRN0007,8.16,30.01,60.0,11731,958.98,Hydraulic System,Critical
CRN0007,8.16,30.01,60.0,11731,958.98,Engine,Critical
CRN0007,8.16,30.01,60.0,11731,958.98,Structural Components,Critical
CRN0007,8.16,30.01,60.0,11731,958.98,Control System,Critical
CRN0008,6.53,25.91,73.7,19715,214.35,Hydraulic System,Critical
CRN0008,6.53,25.91,73.7,19715,214.35,Engine,Critical
CRN0008,6.53,25.91,73.7,19715,214.35,Structural Components,Critical
CRN0008,6.53,25.91,73.7,19715,214.35,Control System,Critical
CRN0009,4.06,33.3,75.12,2697,2037.01,Hydraulic System,Critical
CRN0009,4.06,33.3,75.12,2697,2037.01,Engine,Critical
CRN0009,4.06,33.3,75.12,2697,2037.01,Structural Components,Critical
CRN0009,4.06,33.3,75.12,2697,2037.01,Control System,Critical
CRN0010,6.09,34.69,86.33,7929,1390.18,Hydraulic System,Critical
CRN0010,6.09,34.69,86.33,7929,1390.18,Engine,Critical
CRN0010,6.09,34.69,86.33,7929,1390.18,Structural Components,Critical
CRN0010,6.09,34.69,86.33,7929,1390.18,Control System,Critical
CRN0011,4.07,21.96,80.23,8286,1467.29,Hydraulic System,Critical
CRN0011,4.07,21.96,80.23,8286,1467.29,Engine,Critical
CRN0011,4.07,21.96,80.23,8286,1467.29,Structural Components,Critical
CRN0011,4.07,21.96,80.23,8286,1467.29,Control System,Critical
CRN0012,4.07,26.19,65.94,4083,1916.38,Hydraulic System,Critical
CRN0012,4.07,26.19,65.94,4083,1916.38,Engine,Critical
CRN0012,4.07,26.19,65.94,4083,1916.38,Structural Components,Critical
CRN0012,4.07,26.19,65.94,4083,1916.38,Control System,Critical
CRN0013,5.48,26.15,70.15,6784,1567.1,Hydraulic System,Critical
CRN0013,5.48,26.15,70.15,6784,1567.1,Engine,Critical
CRN0013,5.48,26.15,70.15,6784,1567.1,Structural Components,Critical
CRN0013,5.48,26.15,70.15,6784,1567.1,Control System,Critical
CRN0014,1.17,25.3,81.99,10483,1389.05,Hydraulic System,Critical
CRN0014,1.17,25.3,81.99,10483,1389.05,Engine,Critical
CRN0014,1.17,25.3,81.99,10483,1389.05,Structural Components,Critical
CRN0014,1.17,25.3,81.99,10483,1389.05,Control System,Critical
CRN0015,1.55,34.15,79.21,17140,710.07,Hydraulic System,Critical
CRN0015,1.55,34.15,79.21,17140,710.07,Engine,Critical
CRN0015,1.55,34.15,79.21,17140,710.07,Structural Components,Critical
CRN0015,1.55,34.15,79.21,17140,710.07,Control System,Critical
CRN0016,3.88,29.03,74.21,12104,1107.41,Hydraulic System,Critical
CRN0016,3.88,29.03,74.21,12104,1107.41,Engine,Critical
CRN0016,3.88,29.03,74.21,12104,1107.41,Structural Components,Critical
CRN0016,3.88,29.03,74.21,12104,1107.41,Control System,Critical
CRN0017,2.97,28.68,75.19,12203,1140.6,Hydraulic System,Critical
CRN0017,2.97,28.68,75.19,12203,1140.6,Engine,Critical
